Date,City,Country,Venue,Url
1 June 1975,"Baton Rouge, Louisiana",United States,LSU Assembly Center,https://en.wikipedia.org/wiki/LSU_Assembly_Center
2 June 1975,"Baton Rouge, Louisiana",United States,LSU Assembly Center,https://en.wikipedia.org/wiki/LSU_Assembly_Center
3 June 1975,"San Antonio, Texas",United States,Convention Center,https://en.wikipedia.org/wiki/Henry_B._Gonzalez_Convention_Center
4 June 1975,"San Antonio, Texas",United States,Convention Center,https://en.wikipedia.org/wiki/Henry_B._Gonzalez_Convention_Center
6 June 1975,"Kansas City, Missouri",United States,Arrowhead Stadium,https://en.wikipedia.org/wiki/Arrowhead_Stadium
8 June 1975,Milwaukee,United States,County Stadium,https://en.wikipedia.org/wiki/Milwaukee_County_Stadium
9 June 1975,"Saint Paul, Minnesota",United States,Civic Center,https://en.wikipedia.org/wiki/St._Paul_Civic_Center
11 June 1975,Boston,United States,Boston Garden,https://en.wikipedia.org/wiki/Boston_Garden
12 June 1975,Boston,United States,Boston Garden,https://en.wikipedia.org/wiki/Boston_Garden
14 June 1975,Cleveland,United States,Municipal Stadium (World Series of Rock),https://en.wikipedia.org/wiki/Cleveland_Stadium
15 June 1975,"Buffalo, New York",United States,Memorial Auditorium,https://en.wikipedia.org/wiki/Buffalo_Memorial_Auditorium
17 June 1975,Toronto,Canada,Maple Leaf Gardens,https://en.wikipedia.org/wiki/Maple_Leaf_Gardens
18 June 1975,Toronto,Canada,Maple Leaf Gardens,https://en.wikipedia.org/wiki/Maple_Leaf_Gardens
22 June 1975,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
23 June 1975,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
24 June 1975,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
25 June 1975,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
26 June 1975,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
27 June 1975,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
29 June 1975,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Spectrum_(arena)
30 June 1975,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Spectrum_(arena)
1 July 1975,"Largo, Maryland",United States,Capital Center,https://en.wikipedia.org/wiki/Capital_Center
2 July 1975,"Largo, Maryland",United States,Capital Center,https://en.wikipedia.org/wiki/Capital_Center
4 July 1975,"Memphis, Tennessee",United States,Memorial Stadium,https://en.wikipedia.org/wiki/Memphis_Memorial_Stadium
6 July 1975,Dallas,United States,Cotton Bowl,https://en.wikipedia.org/wiki/Cotton_Bowl_(stadium)
9 July 1975,Los Angeles,United States,Los Angeles Forum,https://en.wikipedia.org/wiki/Los_Angeles_Forum
10 July 1975,Los Angeles,United States,Los Angeles Forum,https://en.wikipedia.org/wiki/Los_Angeles_Forum
11 July 1975,Los Angeles,United States,Los Angeles Forum,https://en.wikipedia.org/wiki/Los_Angeles_Forum
12 July 1975,Los Angeles,United States,Los Angeles Forum,https://en.wikipedia.org/wiki/Los_Angeles_Forum
13 July 1975,Los Angeles,United States,Los Angeles Forum,https://en.wikipedia.org/wiki/Los_Angeles_Forum
15 July 1975,"Daly City, California",United States,Cow Palace,https://en.wikipedia.org/wiki/Cow_Palace
16 July 1975,"Daly City, California",United States,Cow Palace,https://en.wikipedia.org/wiki/Cow_Palace
18 July 1975,Seattle,United States,Seattle Center Coliseum,https://en.wikipedia.org/wiki/Seattle_Center_Coliseum
20 July 1975,"Fort Collins, Colorado",United States,Hughes Stadium,https://en.wikipedia.org/wiki/Hughes_Stadium_(Fort_Collins)
22 July 1975,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium
23 July 1975,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium
24 July 1975,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium
26 July 1975,"Bloomington, Indiana",United States,Assembly Hall,https://en.wikipedia.org/wiki/Assembly_Hall_(Bloomington)
27 July 1975,"Detroit, Michigan",United States,Cobo Hall,https://en.wikipedia.org/wiki/Cobo_Hall
28 July 1975,"Detroit, Michigan",United States,Cobo Hall,https://en.wikipedia.org/wiki/Cobo_Hall
30 July 1975,Atlanta,United States,Omni Coliseum,https://en.wikipedia.org/wiki/Omni_Coliseum
31 July 1975,"Greensboro, North Carolina",United States,Greensboro Coliseum,https://en.wikipedia.org/wiki/Greensboro_Coliseum
2 August 1975,"Jacksonville, Florida",United States,Gator Bowl Stadium,https://en.wikipedia.org/wiki/Gator_Bowl_Stadium
4 August 1975,"Louisville, Kentucky",United States,Freedom Hall,https://en.wikipedia.org/wiki/Freedom_Hall
6 August 1975,"Hampton, Virginia",United States,Hampton Coliseum,https://en.wikipedia.org/wiki/Hampton_Coliseum
8 August 1975,"Orchard Park, New York",United States,Rich Stadium,https://en.wikipedia.org/wiki/Rich_Stadium
